,username,description,location,text,hashtags
56,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/WHmlxj7wCE,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
57,ScalarHumanity,Until #BehavioralScience is made core #education; polarizing effects will continue to devolve #humanity,,"@Kahoot today announced that Kahoot! has been selected as a Euronext Tech Leader. Read more: https://t.co/nOmHt6lTQd

.

#elearning #education #tech #leader #engagement #onlinelearning #learning #edtech #covid #school #learn #online #teaching #onlinecourses #students #tech",[]
58,TheTecEra,"The #Technology Era is a #magazine for tech executives, who provide an unlikely yet refreshing thought to these success stories.",Singapore,"@Kahoot today announced that Kahoot! has been selected as a Euronext Tech Leader. Read more: https://t.co/nOmHt6lTQd

.

#elearning #education #tech #leader #engagement #onlinelearning #learning #edtech #covid #school #learn #online #teaching #onlinecourses #students #tech","['elearning', 'education', 'tech', 'leader', 'engagement', 'onlinelearning', 'learning', 'edtech', 'covid', 'school', 'learn', 'online', 'teaching', 'onlinecourses', 'students', 'tech']"
59,AnirudhPrakhya,,,"🔥 Click below link to buy Books and EDUCBA Courses.
#vedicastrology #educba #learnfromhome #learningnewthings #onlinelearning #elearning #education
👉 https://t.co/RXzG3sbDsK https://t.co/7fmFPJkLL4","['vedicastrology', 'educba', 'learnfromhome', 'learningnewthings', 'onlinelearning', 'elearning', 'education']"
60,smembrey,"If we teach today’s students as we taught yesterday’s, we rob them of tomorrow. - Dr. John Dewey",,"10 Funny Idioms to Make People Chuckle (with Examples) https://t.co/8SGj4NKSia via @YouTube 
#education #educational #English #Englishlanguage #teachertwitter #learning #LearnEnglish #Learn #edutech #eLearning #onlinelearning #edutwitter #idioms #vocabulary","['education', 'educational', 'English', 'Englishlanguage', 'teachertwitter', 'learning', 'LearnEnglish', 'Learn', 'edutech', 'eLearning', 'onlinelearning', 'edutwitter', 'idioms', 'vocabulary']"
61,elitemindztech,"Welcome to Elite Mindz!
A leading one-stop solution to all your Software Development and Mobile app development requirements & Digital Marketing.",India,"The best learning management system gives you the ability to keep track of learners' progress. 
#lms #elearning #ai #training #onlinelearning #blendedlearning #employeetraining #corporatetraining #contentmanagement #university #college #school #liveclasses #sociallearning #mcq https://t.co/qxQs5sgOgo","['lms', 'elearning', 'ai', 'training', 'onlinelearning', 'blendedlearning', 'employeetraining', 'corporatetraining', 'contentmanagement', 'university', 'college', 'school', 'liveclasses', 'sociallearning', 'mcq']"
62,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/uIBlSU8x5q,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
63,MRubel12088058,"I am a Level One Freelancer At Fiverr online Marketplace. I'm a Graphic Designer, Social Media Marketer & SEO Expert.",Bangladesh,"Vibe Academy is offering Online Classes with live instructors for children from 3 to 6 years old!

Starts June 27th and runs until August 5th 2022 at https://t.co/LprUKpRnTF! Sign up today - just $150 for 6 weeks of learning and fun!

#elearning #education #onlinelearning https://t.co/tpKBr1V6qb","['elearning', 'education', 'onlinelearning']"
64,SENDEROPRESS,"Periódico Digital sobre #Economía  #Gerencia y #Tecnología
Digital Journal of #Economy #Management and #Technology 
Journal  #Gestion et #Technologie",Venezuela,Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/IQPa7TCiTa,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning']"
65,James__PT,@Profiletree | @Connolly_Cove | @AmazeFoodDrink | @AmazeCarDrives,Belfast,RT ProfileTree: What are the benefits of online learning? https://t.co/OolBY8pmg7 #Onlinelearning #benefitsofonlinelearning #benefits profiletree profiletreetv profiletreeinterview #interview #Elearning #internet #electronic,"['Onlinelearning', 'benefitsofonlinelearning', 'benefits', 'interview', 'Elearning', 'internet', 'electronic']"
66,ChemoScience,"Chemistry tutor and You Tuber. #subscribe for #learning #chemistry 
Facebook page: @ChemoScienceOfficial
Instagram ID: @chemoscienceofficial",,"@chemistryonlin5 Hey chemistry lovers! Check out my videos on basic #chemistry 
https://t.co/GqhR7trZ3x
#chemoscience #onlinelearning #elearning https://t.co/Ddwn6CxgtG","['chemistry', 'chemoscience', 'onlinelearning', 'elearning']"
67,ChemoScience,"Chemistry tutor and You Tuber. #subscribe for #learning #chemistry 
Facebook page: @ChemoScienceOfficial
Instagram ID: @chemoscienceofficial",,"@the_brandboy Hey chemistry lovers! Check out my videos on basic #chemistry 
https://t.co/GqhR7trZ3x
#chemoscience #onlinelearning #elearning https://t.co/IZAa8D3tJu","['chemistry', 'chemoscience', 'onlinelearning', 'elearning']"
68,ChemoScience,"Chemistry tutor and You Tuber. #subscribe for #learning #chemistry 
Facebook page: @ChemoScienceOfficial
Instagram ID: @chemoscienceofficial",,"@bruker @RACInational Hey chemistry lovers! Check out my videos on basic #chemistry 
https://t.co/GqhR7trZ3x
#chemoscience #onlinelearning #elearning https://t.co/y5yzVDwLrY","['chemistry', 'chemoscience', 'onlinelearning', 'elearning']"
69,ChemoScience,"Chemistry tutor and You Tuber. #subscribe for #learning #chemistry 
Facebook page: @ChemoScienceOfficial
Instagram ID: @chemoscienceofficial",,"@AchieverJee Hey chemistry lovers! Check out my videos on basic #chemistry 
https://t.co/GqhR7trZ3x
#chemoscience #onlinelearning #elearning https://t.co/u420rpxfDo","['chemistry', 'chemoscience', 'onlinelearning', 'elearning']"
70,ed2infinitum,education + technology = the modern world,India,"Teachers Require Training and Time to use Educational Technology

https://t.co/Om2ptFHppq

#onlinelearning #elearning #onlineclass #workfromhome #virtuallearning #edutech https://t.co/0z4EeyQMt6","['onlinelearning', 'elearning']"
71,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/Z8Y08WMmMu,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
72,4jassiking,,New Delhi,Provide adaptive learning based on learning style using Personalised Study Guide (PSG) course format #MoodleTips #Moodle #MoodleTips #OpenSource #LMS @Moodle #MoodlePlugin #EdTech #OnlineLearning #ELearning #ISTE https://t.co/D7RHZb3LYk,"['MoodleTips', 'Moodle']"
73,TheLMSDaily,LMSDaily - No 1 e-learning news portal covering all latest news about Open Source EdTech Tools and Software's,Mauritius,Provide adaptive learning based on learning style using Personalised Study Guide (PSG) course format #MoodleTips #Moodle #MoodleTips #OpenSource #LMS @Moodle #MoodlePlugin #EdTech #OnlineLearning #ELearning #ISTE https://t.co/D7RHZb3LYk,"['MoodleTips', 'Moodle', 'MoodleTips', 'OpenSource', 'LMS', 'MoodlePlugin', 'EdTech', 'OnlineLearning', 'ELearning', 'ISTE']"
74,edifypath,EdifyPath is a world renowned online platform that is focused on bridging the talent-gap across industries.,,"Think big, act bigger and achieve the biggest.

#creativethinking #creativity #creativecontent #innovation #creativemind #knowledge #onlinelearning #elearning #edifypath https://t.co/ACdF8jI46I","['creativethinking', 'creativity', 'creativecontent', 'innovation', 'creativemind', 'knowledge', 'onlinelearning', 'elearning', 'edifypath']"
75,education_24x7,"All education content. Education changes the life.
Software Developer| ML | DS | Technical Blogging at https://t.co/WNErKjwYtH |",Delhi,Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/IQPa7TCiTa,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning']"
76,iScuela,,India,"Life keeps changing so why not change the style of learning too? On iScuela Learn, you can not only find engaging facts everyday but also new quizzes and exam preparation plans for your child.

#iScuela #iscuelalearn #elearning #elearningplatform #Eeducation #onlinelearning https://t.co/fpOwVnb6wT","['iScuela', 'iscuelalearn', 'elearning', 'elearningplatform', 'Eeducation', 'onlinelearning']"
77,educationbnb,By Doctor @KrittanawongMD. The leaderboard of #education3.0 lovers. Our mission: Establish education 3.0 Twitter community,,Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/eauvXk5Apw,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning']"
78,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/eauvXk5Apw,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
79,MarkJ_ohnson,"Assistant Manager at @K12Prospects. K-12 educational sales and marketing. Connecting with educators. Business opportunities.
#edtech #education #data",United States of America,"What is the most important feature to you for edtech platforms?

#elearning #edtech #mooc #educators #onlinelearning","['elearning', 'edtech', 'mooc', 'educators', 'onlinelearning']"
80,ScalarHumanity,Until #BehavioralScience is made core #education; polarizing effects will continue to devolve #humanity,,"What is the most important feature to you for edtech platforms?

#elearning #edtech #mooc #educators #onlinelearning","['elearning', 'edtech', 'mooc', 'educators', 'onlinelearning']"
81,educationbnb,By Doctor @KrittanawongMD. The leaderboard of #education3.0 lovers. Our mission: Establish education 3.0 Twitter community,,"What is the most important feature to you for edtech platforms?

#elearning #edtech #mooc #educators #onlinelearning","['elearning', 'edtech', 'mooc', 'educators', 'onlinelearning']"
82,KEEP_HK,To empower educators and learners with impactful resources and innovative technologies for lifelong education,Hong Kong,"What is the most important feature to you for edtech platforms?

#elearning #edtech #mooc #educators #onlinelearning","['elearning', 'edtech', 'mooc', 'educators', 'onlinelearning']"
83,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/QYnxIu1Y2y,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
84,JoelleGirton,"Editor https://t.co/TjjBq9ZEx1 (@TalentedLearn). Our independent insights help organizations pick #LMS platforms + #learning #tech, primarily for external training","Pennsylvania, USA","DEADLINE June 30th: Hey #learningtech vendors, do you serve the extended enterprise market? Enter the 2022 Talented Learning Systems Awards!
🏅🏅🏅

It's free, so what are you waiting for? Get started now👉https://t.co/dIbY7FaqeW

#LMS #LXP #onlinelearning #elearning #hrtech https://t.co/qStxRIl3b8",['learningtech']
85,cstonervoice,"🎧 Black Female Voice Actor | Warm & Conversational | ELearning | Commercials | & more!
Contact For Booking 

✉ info@christianstoner.com

Rep: @Wehmannvoice",,"Make E-Learning easy and fun!
Book your E-Learning voiceover with Christian Stoner at https://t.co/cfvwsa8hbH

#Elearning 
#Onlinelearning 
#Voiceactor 
#Voiceover 
#University 
#Courses
#Classes 
#Tutorials
#BlackOwned https://t.co/f3XrMUMrZO","['Elearning', 'Onlinelearning', 'Voiceactor', 'Voiceover', 'University', 'Courses', 'Classes', 'Tutorials', 'BlackOwned']"
86,DistanceLrnBot,"Follow this account to get Tweets with hashtag #distancelearning in your timeline.  Share, learn, & support students together.  Managed by @MrsJennCarr.",San Diego,"Here we are available to support your academic dreams.
DISTANCE LEARNING PROGRAMMES
PROGRAMES OFFERED
Call us - 88074 49232 
#UniversityAdmissionZone #coimbatore #tamilnadu #distanceeducation #distancelearning #onlinelearning #onlineeducation #elearning #advancededucation https://t.co/pcUTx3Ci7Q",[]
87,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/dc9yg69KBm,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
88,NammaTamilnadu_,News and Updates from Tamilnadu. தமிழ்நாட்டை பற்றிய அனைத்து தகவல் மற்றும் செய்திகள். #news #sports #cinema RT bot #tamil #tn #tamilnadu,"Tamil Nadu, India","Here we are available to support your academic dreams.
DISTANCE LEARNING PROGRAMMES
PROGRAMES OFFERED
Call us - 88074 49232 
#UniversityAdmissionZone #coimbatore #tamilnadu #distanceeducation #distancelearning #onlinelearning #onlineeducation #elearning #advancededucation https://t.co/pcUTx3Ci7Q",[]
89,Universityadm11,"Distance education centre in Coimbatore 
Study under UGC/IACTE Universities
For admission : 9047892380 
Mail: jerindigitalwworld@gmail.com",,"Here we are available to support your academic dreams.
DISTANCE LEARNING PROGRAMMES
PROGRAMES OFFERED
Call us - 88074 49232 
#UniversityAdmissionZone #coimbatore #tamilnadu #distanceeducation #distancelearning #onlinelearning #onlineeducation #elearning #advancededucation https://t.co/pcUTx3Ci7Q","['UniversityAdmissionZone', 'coimbatore', 'tamilnadu', 'distanceeducation', 'distancelearning', 'onlinelearning', 'onlineeducation', 'elearning', 'advancededucation']"
90,DistanceLrnBot,"Follow this account to get Tweets with hashtag #distancelearning in your timeline.  Share, learn, & support students together.  Managed by @MrsJennCarr.",San Diego,Check out the latest E-Learning news and resources at https://t.co/qvnT08s9Sm (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning']"
91,PyScaleLLC,"Polyglot technologist. PyScale focuses on developing scalable, solutions in the cloud. Retweets do not represent my views. link - https://t.co/KeYGCi3bOi","Miami, FL",Check out the latest E-Learning news and resources at https://t.co/qvnT08s9Sm (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning']"
92,jurczyk,"https://t.co/c02gCUsKUP Web Designer, Digital Marketer, Elearning Designer, Content Manager, Founder.","Brecksville, OH",Check out the latest E-Learning news and resources at https://t.co/qvnT08s9Sm (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning', 'onlinelearning', 'school', 'virtuallearning', 'cbt', 'wbt', 'college', 'university', 'onlinedegree', 'education', 'ai']"
93,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/Exo4yZ9U9e,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
94,stylelibreview,"50,000 WordPress Themes & Website Templates From 5$. The Most Popular eCommerce, WordPress Themes and Plugins.","Ukraine, Kiev","CorpTrain - Corporate Training WordPress Theme [UPDATE]
https://t.co/7Lrs4zSWa0

#coaching #elearning #educationwordpresstheme #learning #learningmanagementsystem #learnpress #lessons #lms #onlinecourse #onlineeducation #onlinelearning #themeforest #thimpress https://t.co/BlLBzZmzvu","['coaching', 'elearning', 'educationwordpresstheme', 'learning', 'learningmanagementsystem', 'learnpress', 'lessons', 'lms', 'onlinecourse', 'onlineeducation', 'onlinelearning', 'themeforest', 'thimpress']"
95,BraniffBill,Director @START_UMD. Terrorism & CVE lecturer. Founding Board Member of @WetheVeterans  Nats Fan.,,"Sharpen your #counterterrorism skills in a summer course with START! Entirely online, these knowledge-building courses are open to all https://t.co/aRMSA75NoA

#KeepLearningUMD #UMD2024 #UMD #OnlineClass #geographers #geography #eLearning #OnlineLearning #DistanceLearning #GIS https://t.co/6ibNobmv6e",['counterterrorism']
96,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/01zr72lV9U,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
97,England_UserNo1,When you walk in silence your excellence will always speak for you. 🇬🇧🇺🇸,"Beverley, United Kingdom","Including these techniques in your marketing strategy while promoting your course online will ensure maximum reach and visibility among your target audience.

#elearning #onlinelearning #education #podcast #webinar #elearningplatform #trainercentral #socialmedia",[]
98,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/XwSGCqkB9G,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
99,EdTech_Awards,"The EdTech Breakthrough awards program is dedicated to honoring and recognizing the leading #EdTech products, companies and people in the industry.","Los Angeles, CA","Teachers Require Training and Time to use Educational Technology

https://t.co/Om2ptFHppq

#onlinelearning #elearning #onlineclass #workfromhome #virtuallearning #edutech https://t.co/0z4EeyQMt6","['onlinelearning', 'elearning', 'onlineclass', 'workfromhome', 'virtuallearning', 'edutech']"
